"mirname" "p.value"
"hsa-miR-576-5p" "0,000900655"
"hsa-miR-490-5p" "0,00095524"
"hsa-miR-19b-1*" "0,001009825"
"hsa-miR-139-5p" "0,00106441"
"hsa-miR-223" "0,001228166"
"hsa-miR-1233" "0,001337336"
"hsa-miR-220c" "0,001391921"
"hsa-miR-1284" "0,001446507"
"hsa-miR-548j" "0,001501092"
"hsa-miR-449a" "0,001555677"
"hsa-miR-452*:9.1" "0,001610262"
"hsa-miR-505" "0,001664847"
"hsa-miR-148b*" "0,001719432"
"hsa-miR-486-5p" "0,001774017"
"hsa-miR-610" "0,001828603"
"hsa-miR-629*" "0,001883188"
"HS_5.1" "0,001937773"
"hsa-miR-1226*" "0,001992358"
"hsa-miR-30c-1*" "0,002046943"
"hsa-miR-451" "0,002101528"
"HS_145.1" "0,002156114"
"hsa-miR-1296" "0,002210699"
"hsa-miR-28-3p" "0,002265284"
"hsa-miR-941" "0,002319869"
"hsa-miR-589*" "0,002483624"
"hsa-miR-181a*" "0,00253821"
"HS_100" "0,002592795"
"hsa-miR-660" "0,00264738"
"hsa-miR-127-3p" "0,002701965"
"hsa-miR-1268" "0,00275655"
"hsa-miR-548c-5p" "0,002811135"
"hsa-miR-25*" "0,002865721"
"HS_203" "0,002920306"
"solexa-3464-254" "0,002974891"
"hsa-miR-579" "0,003084061"
"hsa-miR-548d-3p" "0,003247817"
"hsa-miR-1292" "0,003356987"
"hsa-miR-106b*" "0,003411572"
"hsa-miR-1178" "0,003466157"
"hsa-miR-769-3p" "0,003629913"
"hsa-miR-517c" "0,003684498"
"hsa-miR-338-3p" "0,003739083"
"hsa-miR-150" "0,003793668"
"hsa-miR-195" "0,003848253"
"solexa-7534-111" "0,003902838"
"hsa-miR-197" "0,004066594"
"hsa-miR-103" "0,004121179"
"hsa-miR-624*" "0,004175764"
"hsa-miR-497" "0,004230349"
"hsa-miR-923" "0,004284934"
"hsa-miR-302c*" "0,004394105"
"solexa-5620-151" "0,00444869"
"hsa-miR-126" "0,004503275"
"hsa-miR-135b*" "0,00455786"
"HS_199" "0,004612445"
"HS_275" "0,004667031"
"hsa-miR-16-2*" "0,004776201"
"hsa-miR-1228*" "0,004830786"
"hsa-miR-20a*" "0,004885371"
"hsa-miR-1206" "0,004939956"
"hsa-miR-500" "0,004994541"
"solexa-15-44487" "0,005158297"
"hsa-miR-454" "0,005212882"
"hsa-miR-501-5p" "0,005322052"
"HS_55.1" "0,005376638"
"hsa-miR-589" "0,005431223"
"hsa-miR-145" "0,005485808"
"hsa-miR-491-5p" "0,005540393"
"hsa-miR-143" "0,005594978"
"hsa-miR-629" "0,005649563"
"HS_276.1" "0,005704148"
"HS_35" "0,005758734"
"hsa-miR-17*" "0,005977074"
"hsa-miR-128" "0,006031659"
"hsa-miR-362-5p" "0,006086245"
"hsa-miR-92a-1*" "0,00614083"
"hsa-miR-93*" "0,006195415"
"hsa-miR-766" "0,00625"
"hsa-miR-1246" "0,00635917"
"hsa-miR-1468" "0,006413755"
"hsa-miR-565:9.1" "0,006522926"
"hsa-miR-146b-3p" "0,006741266"
"hsa-miR-15b*" "0,006795852"
"hsa-miR-663b" "0,006850437"
"hsa-miR-570" "0,007177948"
"hsa-miR-126*" "0,007505459"
"hsa-miR-129-5p" "0,007614629"
"hsa-miR-182" "0,007669214"
"hsa-miR-127-5p" "0,007723799"
"HS_151.1" "0,007778384"
"hsa-miR-450b-3p" "0,007887555"
"hsa-miR-550*" "0,00816048"
"hsa-miR-25" "0,008215066"
"hsa-miR-1254" "0,008433406"
"HS_119" "0,008542576"
"hsa-miR-17-5p:9.1" "0,008651747"
"hsa-miR-365" "0,008706332"
"hsa-miR-106a:9.1" "0,008760917"
"hsa-miR-339-5p" "0,008870087"
"hsa-miR-425" "0,008924672"
"HS_113" "0,009033843"
"hsa-miR-1272" "0,009088428"
"hsa-miR-634" "0,009143013"
"hsa-miR-130b*" "0,009197598"
"HS_72" "0,009306769"
"hsa-miR-18b*" "0,009361354"
