"mirname"	"p.value"
"hsa-miR-199a-5p"	0.0014049727520436
"hsa-miR-451"	0.00149012261580381
"hsa-miR-144"	0.00157527247956403
"hsa-miR-223"	0.00166042234332425
"hsa-miR-1975"	0.00174557220708447
"hsa-miR-199a-3p+hsa-miR-199b-3p"	0.0019158719346049
"hsa-miR-143"	0.00200102179836512
"hsa-miR-150"	0.00208617166212534
"hsa-miR-107"	0.00217132152588556
"hsa-miR-1299"	0.00259707084468665
"hsa-miR-1290"	0.0028525204359673
"hsa-miR-497"	0.00302282016348774
"hsa-miR-1974"	0.00344856948228883
"hsa-miR-519e"	0.00353371934604905
"hsa-miR-206"	0.00361886920980926
"hsa-miR-25"	0.0037891689373297
"hsa-miR-126"	0.00387431880108992
"hsa-miR-145"	0.00421491825613079
"hsa-miR-193a-3p"	0.00455551771117166
"hsa-miR-453"	0.00481096730245232
"hsa-miR-199b-5p"	0.00506641689373297
"hsa-miR-1253"	0.00515156675749319
"hsa-miR-1293"	0.00549216621253406
"hsa-miR-26b"	0.00583276566757493
"hsa-miR-1915"	0.0061733651226158
"hsa-miR-1"	0.00693971389645777
"hsa-miR-130b"	0.00719516348773842
"hsa-miR-30a"	0.00753576294277929
"hsa-miR-21"	0.00770606267029973
"hsa-miR-142-5p"	0.00813181198910082
"hsa-miR-374b"	0.00847241144414169
"hsa-miR-660"	0.00906846049046322
"hsa-miR-655"	0.00923876021798365
"hsa-let-7c"	0.00940905994550409
"hsa-miR-30e"	0.00983480926430518
"hsa-miR-1283"	0.0099199591280654
"hsa-miR-630"	0.0105160081743869
"hcmv-miR-US33-3p"	0.0110269073569482
"hsa-miR-1908"	0.0111120572207084
"hsa-miR-181c"	0.0113675068119891
"hiv1-miR-H1"	0.0117932561307902
"hsa-miR-524-3p"	0.0130705040871935
"hcmv-miR-US5-1"	0.0142626021798365
"hsa-miR-140-5p"	0.0143477520435967
"hsa-miR-34c-3p"	0.0146883514986376
"hsa-miR-142-3p"	0.0151992506811989
"hsa-miR-369-3p"	0.0155398501362398
"hsa-miR-629"	0.015625
"hsa-miR-34b"	0.0160507493188011
"hsa-miR-1305"	0.016391348773842
"hsa-miR-155"	0.0165616485013624
"hsa-miR-518f"	0.018349795640327
"hsa-miR-140-3p"	0.0186052452316076
"hsa-miR-152"	0.0192012942779292
"hsa-miR-548o"	0.01954189373297
"hsa-miR-30d"	0.0203933923705722
"hsa-miR-19a"	0.021074591280654
"hsa-miR-15b"	0.021500340599455
"hsv1-miR-H2-3p"	0.0220963896457766
"hsa-miR-26a"	0.0221815395095368
"hsa-miR-587"	0.0223518392370572
"hsa-miR-1973"	0.023033038147139
"hsa-miR-2277"	0.0231181880108992
"hsa-miR-938"	0.0232884877384196
"hsa-miR-187"	0.024991485013624
"hsa-miR-885-5p"	0.0255875340599455
"hsa-miR-92b"	0.0258429836512262
"hsa-miR-617"	0.0260132833787466
"hsa-miR-93"	0.0266944822888283
"hsa-miR-1231"	0.0271202316076294
"hsa-miR-657"	0.0273756811989101
"hsa-miR-221"	0.0280568801089918
"hsa-miR-548a-3p"	0.0288232288828338
"hsa-miR-708"	0.0300153269754768
"hsa-miR-522"	0.0301856267029973
"hsa-miR-10b"	0.0302707765667575
"hsa-miR-181a"	0.0306113760217984
"hsa-miR-455-3p"	0.030866825613079
