"mirname" "pvalue"
"hsa-miR-143" 9.84785211960838e-47
"hsa-miR-451" 2.79342465434072e-40
"hsa-miR-223" 1.64193696313155e-37
"hsa-miR-144" 3.40599522523868e-37
"hsa-miR-144*" 1.33537121050181e-34
"hsa-miR-718" 9.36801223746266e-33
"hsa-miR-199a-5p" 9.27209379623141e-30
"hsa-miR-145*" 1.78520644104006e-26
"hsa-miR-214*" 7.19729786456286e-19
"hsa-miR-223*" 3.36491073133662e-17
"hsa-miR-133a" 1.12983339145785e-16
"hsa-miR-145" 1.49962858699327e-14
"hsa-miR-4326" 2.26467335846217e-14
"hsa-miR-1469" 7.61213618184529e-14
"hsa-miR-195" 8.5988326279773e-14
"hsa-miR-214" 3.19407504218483e-13
"hsa-miR-3195" 2.22613832376945e-12
"hsa-miR-1246" 2.06733495551677e-10
"hsa-miR-150" 1.34178873927269e-09
"hsa-miR-142-5p" 3.14057020974315e-08
"hsa-miR-3178" 3.9233159724623e-08
"hsa-miR-671-3p" 4.00191720036658e-08
"hsa-miR-3196" 5.75894566542197e-08
"hsa-miR-133b" 6.12091139315636e-08
"hsa-miR-143*" 8.12966748463414e-08
"hsa-miR-1181" 1.99544779149184e-07
"hsa-miR-18a*" 2.99973590850262e-07
"hsa-miR-362-3p" 4.52066373331841e-07
"hsa-miR-550a" 4.55335632750457e-07
"hsa-miR-668" 4.81192086586684e-07
"hsa-miR-92a-1*" 7.59097339748497e-07
"hsa-miR-497" 9.31781016464551e-07
"hsa-miR-3609" 1.60198704965307e-06
"hsa-miR-139-5p" 1.79127946969138e-06
"hsa-miR-3615" 1.94053078103122e-06
"hsa-miR-126" 2.03650251405769e-06
"hsa-miR-589*" 2.13991641541786e-06
"hsa-miR-15a*" 3.22602657884108e-06
"hsa-miR-1248" 4.2636733664309e-06
"hsa-miR-142-3p" 5.20120908462995e-06
"hsa-miR-486-5p" 6.98036666926152e-06
"hsa-miR-1307" 1.29018734532793e-05
"hsa-miR-3605-3p" 1.7482671139289e-05
"hsa-miR-576-5p" 1.77030317699753e-05
"hsa-miR-10b" 2.13350297432353e-05
"hsa-let-7c" 2.880578161422e-05
"hsa-miR-25*" 3.2416210667035e-05
"hsa-miR-299-5p" 3.32722372196496e-05
"hsa-miR-92b" 4.91068357504963e-05
"hsa-miR-664*" 5.28191954524649e-05
"hsa-miR-208b" 5.81450256295394e-05
"hsa-miR-126*" 6.06136686857632e-05
"hsa-miR-338-5p" 6.5680639979267e-05
"hsa-miR-4281" 7.56790431083083e-05
"hsa-miR-3656" 8.04553982221555e-05
"hsa-miR-622" 9.16341538941958e-05
